session_id,version,coverage,faithfulness,chronology,coherence
21_Lars_Annotated,baseline,5,5,5,5
21_Lars_Annotated,rag,5,5,5,5
21_Lars_Annotated,fewshot,4,5,5,5
21_Lars_Annotated,pii,4,5,5,5
27_Cliff_Annotated,baseline,5,5,5,5
27_Cliff_Annotated,rag,2,3,3,4
27_Cliff_Annotated,fewshot,3,4,4,5
27_Cliff_Annotated,pii,3,4,3,4
17_Mike_Annotated,baseline,5,5,5,5
17_Mike_Annotated,rag,3,4,3,4
17_Mike_Annotated,fewshot,3,4,3,4
17_Mike_Annotated,pii,2,3,4,4
43_Al_Annotated,baseline,5,5,5,5
43_Al_Annotated,rag,3,3,4,4
43_Al_Annotated,fewshot,2,3,3,4
43_Al_Annotated,pii,2,3,3,4
02_Robert_Annotated,baseline,5,5,5,5
02_Robert_Annotated,rag,3,4,4,5
02_Robert_Annotated,fewshot,3,4,4,5
02_Robert_Annotated,pii,4,4,5,5
